decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.6297981,1249071597432603723,162.6754894,253.1322272,6.3131374,741.8928942,2195.9030034,32.1461196,122.0845903,-1770.1667243,4.0,1763.9216571,5.8494968,1.3337185
-44.6216739,1249071597432603391,3280997.0162477,1270.2256481,-486.5275943,195532.483836,617336.7941543,216120.3064162,193.2273226,-514428.5449249,41.0,318593.3298125,218.7801446,-1.1234944
-44.5429529,1249071597432603384,40301.3412099,372.8938415,-49.1009998,29480.9549288,7019.1441263,-60843.1638026,179.1280698,-92346.5410134,4.0,45340.4292787,101.0607877,0.5672388
-44.4997792,1249071597432603451,674061.8944185,973.7994786,-384.2935536,162513.4643667,1147305.4734326,312029.2218055,312.6521151,114045.445921,9.0,333948.148806,225.806443,1.6156932
-44.523254,1249062801339582229,3877.6164304,294.867629,23.8712904,837.2334148,-4311.2308009,-20065.6628895,146.7973251,-26199.8076699,4.0,10578.6058067,22.3216952,1.9747307
-44.6275304,1249071597432603597,283.9684271,622.1467428,-3.8765344,907.9870961,1638.1044684,-3472.8742106,132.2830973,-10715.8905493,22.0,2261.1534295,1.6298262,-1.1791203
-44.6427218,1249071597432603676,15393.1826852,1007.6664702,-39.2096456,3666.7784658,33608.4690694,10533.3884988,236.3597393,-86775.3117643,18.0,25600.9166205,11.1180171,-3.8627255
-44.6286539,1249071597432603603,187197.1872914,181.7419472,6.7832402,223.9838931,38326.7258608,-1612.9431353,25.9697649,-6493.7742096,38.0,16194.8203556,40.1798268,1.4669084
-44.6336854,1249071597432603600,118.6069733,326.7258009,1.0038188,436.8246397,1761.5626545,-561.7649753,101.428113,-2098.5581855,10.0,1050.2551533,1.8814085,0.9002628
-44.6331437,1249071597432603637,177.1160265,530.576589,-0.5128357,883.5946555,4619.8138515,2505.2866936,96.3401382,-93.8525776,30.0,1274.2954269,1.5640251,-0.4088166
-44.5226003,1249071597432603624,104211.9765247,573.0317219,338.6355801,99141.4383784,87688.8471953,-58324.0519558,252.4686734,-153232.0887611,5.0,97302.7508961,138.3598204,0.3668549
-44.6249638,1249071597432603629,88.7535212,414.2766409,2.5166292,442.7446607,2754.8038822,1079.0129871,93.7801299,-1124.0876985,19.0,914.8095421,1.0369666,-0.1601646
-44.641613,1249071597432603618,14.7794279,289.9695851,9.6038529,117.6730035,-313.7887128,-886.2888566,163.3009879,-1630.15838,3.0,728.4172028,1.2717249,-1.6813374
-44.6511808,1249062801339582267,11543.6733215,346.7905153,-91.6820923,9639.1940667,-10482.4471209,-26235.1808912,129.4756598,-46930.4087466,7.0,14813.5078998,37.0366634,-0.6173263
-44.6396748,1249071597432603694,23.8614683,203.4240538,25.783097,46.884847,114.3974388,-775.3147185,101.6339375,-1114.4617463,4.0,584.9175657,0.8324965,1.9653757
-44.5521239,1249071597432603690,80821.7270417,409.9731849,17227.9488664,8489.0242301,107930.1322282,-33855.2994343,219.5573011,-64837.160506,3.0,97389.2109645,133.4802737,1.7172576
