decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.5899274,1252985858827485498,124.1624759,461.3656876,-6.9930292,986.4358676,1966.133013,-1267.1282265,144.4596778,-4160.1665184,10.0,1697.9877748,2.4230579
-44.503628,1252985858827485983,2.1876846,140.3156415,9.7953519,146.7701093,187.862656,45.7279718,99.1810155,-105.6775625,2.0,207.5642791,1.0859081
-44.5337519,1252985858827485919,117034.3081005,447.9762306,-297.8643917,87118.2755193,175943.931195,35694.4301323,234.650085,-29512.6093006,3.0,103122.8465791,217.1546411
-44.472648,1252985858827485923,1.757666,204.366442,-0.1761869,71.0205543,-912.5361736,-1019.9488038,113.9942677,-1302.7554302,3.0,207.8472191,-0.213858
-44.5315434,1252985858827485928,27485.811798,308.6315148,37.1689346,8780.4798545,2901.0133472,-41214.481673,177.9506112,-65038.941303,3.0,36952.1711641,86.5620076
-44.601834,1252985858827486086,4500.579203,598.7321063,148.9048062,28429.4552888,188885.1679042,157968.2755614,422.1488325,132026.2573265,2.0,40205.3212404,63.8162516
-44.6452326,1252985858827486079,846086.4866237,1105.0480899,151.6094968,50713.7327094,285329.9131267,7430.3162641,322.1412227,-502259.9440111,11.0,278582.4161883,236.7729717
-44.6182902,1252985858827486080,32.7592076,533.3020152,-0.5446367,512.1247472,3590.0187482,1821.1060093,187.3241628,-83.2494535,8.0,1116.5618508,0.8540759
-44.5336336,1252985858827485202,290388.9373544,577.6262798,-265.1466744,140882.6528601,511361.9421857,151653.4234441,298.382553,42439.1068432,3.0,240605.8009503,315.6510501
-44.5139405,1252985858827485200,609.7985454,737.8950901,-0.0834064,2817.9021759,-5122.419979,-12088.4388243,157.012921,-20097.8040504,22.0,3938.3118465,3.7433961
-44.5056089,1252985858827485221,123.1732592,359.388759,-0.1982742,524.4661378,2164.4793658,824.0841504,112.9872652,-1636.3842048,10.0,1259.2524282,2.1615984
-44.5093347,1252985858827485220,519.2974049,734.1186751,0.3669468,3016.4231282,5733.9594249,-543.9231834,172.233774,-7875.5847692,18.0,3910.8021571,4.1083769
