decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5204128,1248666977153582098,66148.9555492,706.33567,53.7325357,15622.3617032,427743.5865778,237618.2259057,398.0110022,175033.9660276,3.0,141607.7792186,124.7780671
-44.5216537,1248666977153582090,85.4318511,309.1126761,-9.1511161,1260.3666828,1983.4320989,-681.0805819,161.0691176,-2390.7676663,3.0,2251.5958868,4.6910366
-44.6100221,1248666977153582209,346.6372873,731.1007086,5.3161132,2083.2652469,9880.210149,2376.4339421,162.8658058,-1854.457845,20.0,3037.8291252,2.6237963
-44.6472157,1248666977153582182,72.3016138,345.1407267,1.2450185,291.9770258,2875.5866463,2055.8530559,91.6645001,102.8602425,14.0,828.6308884,0.7171083
-44.6300577,1248666977153582181,567.7435938,421.4619676,43.4504467,7106.975016,-75137.1399037,-81661.8780609,297.2667511,-89351.0899357,2.0,10050.780455,22.3665607
-44.4784747,1248666977153582769,0.9039431,292.4479591,1.078849,198.5512013,-1252.6580819,-1396.3491043,200.7045973,-1649.7604844,2.0,280.7938016,-0.0754739
-44.4924628,1248666977153582770,112.615822,507.6398693,-17.2637823,237.5396508,3013.8716828,-1239.0945316,292.6238354,-3631.426692,3.0,3769.9643553,4.6713657
-44.6401067,1248658181060560234,2102.007099,519.9447403,1622969.8385519,16866.7140519,179079.4505869,161021.7067682,366.967758,145346.022483,2.0,23853.1357649,43.787903
-44.6494792,1248666977153582180,321.445125,481.318994,-0.2949413,1212.1398201,4332.688167,1423.2153961,119.3988118,-3884.9858377,16.0,2075.1247756,2.9353623
-44.6287415,1248666977153582199,352.1997521,662.1117123,-3.7432816,1704.7765292,8398.1959355,1925.1887739,151.3271455,-2586.0001562,19.0,2910.8754363,3.0904313
-44.6056238,1248666977153582197,223.573714,376.3436056,-2.2619908,1026.6093584,1180.8458888,-1628.330041,93.376784,-3369.9605451,16.0,1433.3560305,2.608364
