decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.2825343,1248710957618692232,35.9507525,129.654033,-0.7112011,83.7632118,-82.1695712,-479.3243895,73.676257,-1014.7643545,3.0,515.9561258,2.4511476
-44.2747424,1248710957618692231,182436.38078,553.8583164,-49.9781957,85113.010336,388457.3770975,208724.8085991,263.1568008,89254.1800754,4.0,128225.6700594,205.8640689
-44.316892,1248710957618692230,14359.7830391,274.8278043,-36.7573105,2024.3988351,14704.5408292,-8684.5297157,156.6565229,-24568.3277052,3.0,22112.9859604,63.5773712
-44.308094,1248710957618692229,91.8211038,124.291355,1.0456675,271.4857095,979.7204925,152.219863,67.6891044,-459.0730323,3.0,764.4648273,5.5517647
-44.367417,1248710957618692213,59.0125447,202.7114341,2.699243,1101.1226002,1032.2356816,-66.4914797,143.3383753,-1170.0095189,2.0,1557.2225151,7.042836
-44.2751049,1248710957618692265,884660.6888186,515.0191556,-124.6197693,115951.4132103,541893.8625501,115276.4912662,152.0845979,33.4358816,8.0,191977.2762838,284.4271222
-44.3485917,1248710957618692286,47.8223143,261.136102,-0.1481874,316.2216773,542.2117313,-181.6774463,67.0042716,-1477.8460638,15.0,490.6729195,0.7242704
-44.3168759,1248710957618692279,366.7276364,396.652925,23561215.5043263,5371.9298767,92937.7207623,87383.0448592,280.354203,82193.8610089,2.0,7597.0560877,18.2787548
-44.2249222,1248710957618692269,2.1005615,186.3997569,-0.2671332,117.0117116,1528.7978302,1338.8597108,93.0302939,1150.855373,4.0,159.7361055,-0.2034898
-44.4003063,1248710957618692353,95.8883952,193.688153,-0.0952598,173.2153603,765.9897129,-165.5540504,48.0292667,-1009.296041,16.0,458.5901168,0.9654204
-44.3485975,1248710957618692263,142.5063534,178.7890958,-0.0107915,731.0910092,1177.2669028,-352.5976698,61.1246162,-1394.6511808,6.0,1066.0384683,3.795894
-44.3579464,1248710957618692262,482.5254636,520.1567768,-1.6932892,1493.8383749,3737.1194614,-1119.4419572,96.1900119,-4806.6103758,29.0,2094.0219736,2.7204877
-44.3675107,1248710957618692260,73.9326532,173.4480664,-1.0313633,198.0056696,1071.6183598,-258.86002,99.0028768,-915.0974434,3.0,1094.359011,3.692329
-44.3879262,1248710957618692259,1.631875,306.3114428,0.3882288,279.3322948,1966.5316354,1611.2488714,210.4261401,1407.8670458,2.0,395.0355197,0.3873406
-44.2394995,1248710957618692251,1721499.6885327,640.3697992,30.8002579,198242.9728339,1056839.0008409,217312.9267981,169.5865016,44710.1287351,10.0,304316.8504798,366.7430903
-44.3032852,1248710957618692442,0.1633545,182.0709522,0.0271896,23.557728,1031.4723585,987.7429455,104.7158095,932.2266227,3.0,51.8545356,-0.9578548
-44.2752038,1248710957618692455,227705.8684794,340.6769044,38.5227445,17540.5441824,184443.4598445,-2247.7844875,123.8833283,-38052.4837228,6.0,90850.8561317,160.4455313
-44.2422914,1248710957618692440,94.8027026,135.4464685,0.5698062,215.0991904,824.7208222,235.5112351,42.2354947,-531.4757774,10.0,393.984826,1.7250545
-44.3869233,1248710957618692438,49.3397801,221.110262,-0.4461441,152.0057338,1684.9142548,1115.1597104,68.8029701,-264.861396,10.0,539.8021815,0.6317274
-44.3770087,1248710957618692437,81.4339059,199.8764056,-5.8209349,382.1040659,1163.7945048,-474.831984,114.6991278,-1315.6388121,3.0,1334.9396414,4.3752687
-44.2629517,1248710957618692432,14.7186416,166.9289188,0.68346,178.1267124,780.1544467,402.5778463,93.4134454,-3.7586591,3.0,410.9391759,1.6959936
-44.2324506,1248710957618692429,6.9824593,172.6857779,0.7986658,329.7589112,5.854303,-457.0799204,114.1639738,-653.6635194,2.0,466.3495245,1.5715142
-44.4252194,1248710957618692427,52.0119506,552.6262031,202.4473976,2829.631772,3029.7368731,-306.5685762,386.0130787,-2629.526671,2.0,4001.7036286,6.0331828
-44.4282661,1248710957618692502,22.2516784,225.0977263,1.6371804,55.0599419,1430.5135134,973.5249367,129.8963022,98.0685001,3.0,753.8958738,1.6002139
-44.3081838,1248710957618692499,55.838173,115.4154339,2.4219881,610.1072076,637.8368222,-8.4982866,81.5029928,-582.377593,2.0,862.8218875,6.6360371
-44.412579,1248710957618692493,58.0924734,154.0110775,-0.7642526,348.9690988,970.9557663,178.120142,57.5581859,-350.4331322,7.0,466.0659268,2.0842742
-44.2176561,1248710957618692490,0.0001822,162.2999589,-0.0030208,1.5558846,-949.0497796,-950.316559,113.2589695,-952.1615489,2.0,2.2003532,-0.9999089
-44.2393755,1248710957618692475,900554.6238399,661.3788771,-610.5953371,6427.6080033,1205484.2615742,226168.2079079,307.4254742,136046.8000993,3.0,615592.9048119,408.4017927
-44.2696902,1248710957618692472,31.6597811,298.0674704,1.4008089,489.3220955,-144.124852,-1479.3833457,148.9550815,-2525.3343695,4.0,982.5416138,1.7200928
-44.2749715,1248710957618692471,258138.1429384,383.8824847,1.5066411,21020.3083508,269945.198547,45462.8833397,151.9329686,3038.1448744,5.0,116900.8198962,187.854591
-44.3795381,1248710957618692467,0.7695032,342.7208669,1.186025,212.9164083,-1610.0990729,-1799.2701712,241.2049343,-2035.9318894,2.0,301.1092722,-0.4596506
-44.3769545,1248710957618692464,133.1789065,243.641748,-0.5930266,824.1512559,1810.7079121,557.9070643,70.0615579,-815.4424104,12.0,847.6359373,2.5560803
-44.4024533,1248710957618692387,2.040497,100.7324344,0.3078821,101.7692553,-501.6893406,-599.2188807,71.1822008,-705.2278512,2.0,143.923461,1.0138444
-44.4313027,1248710957618692382,114.6873471,390.210692,0.4214492,835.4312268,4027.590255,2597.1738367,117.3286384,339.0588832,11.0,1344.5029665,2.2233707
-44.2394529,1248710957618692377,4198.9258218,271.3428565,-4.4309539,2301.5602567,18046.0740158,10403.1606395,135.1507463,-3410.2951413,4.0,9692.9495082,25.6880091
-44.3121594,1248710957618692368,3.1543127,142.7797768,-0.1843982,123.1994798,924.6423213,685.6362719,62.4064781,594.7070001,5.0,134.7166292,-0.3892799
-44.3169384,1248710957618692367,11388.9464347,236.0243083,16.0474892,11936.618624,-23044.8997657,-40713.250505,117.2125457,-55594.1351995,4.0,14749.5816218,56.4347164
-44.2325309,1248710957618692359,27.9515763,205.2515468,-0.2062603,269.7441497,705.0709253,329.2907959,57.3563827,-279.812018,12.0,312.7579112,0.5564067
-44.3206334,1248710957618692355,21.7365694,122.2590526,0.0743068,182.0014618,-8.9373483,-531.9216526,59.2451037,-861.2665588,4.0,364.0003086,1.4961568
-44.3692295,1248710957618692407,217199.9553431,589.799548,1047.4515965,16556.7629675,253734.8688422,-101481.3311494,309.353382,-168684.6857132,3.0,239247.7837119,214.6539159
-44.2904327,1248710957618692421,331418.4403898,616.753396,2012.166372,266772.8023004,549281.4353591,112747.644501,357.464494,15735.8307583,2.0,377273.7150855,449.5382561
-44.2396581,1248710957618692419,636128.3913078,463.922846,-342.3852969,64108.4941439,630110.5912923,27319.6717841,184.1085243,-55358.1648862,4.0,312924.5157018,327.5265978
-44.3374124,1248710957618692406,2.6740059,156.00119,-0.5307476,181.5405952,1069.3272886,847.0997752,108.1936646,706.2460981,2.0,256.7371719,0.8814927
-44.3171107,1248710957618692405,3301.7088504,259.33489,9.8226268,9026.9804718,-20931.0296071,-32404.0716095,149.2325573,-41662.6265811,3.0,10394.5782101,32.737424
-44.3767358,1248710957618692399,0.0029157,219.2617178,1322.0734941,8.3951667,1255.4742065,1245.8315103,153.7474095,1238.6838731,2.0,11.8725586,-0.9985411
-44.3166517,1248710957618692394,452.921379,289.3464939,7.7966348,4354.2652607,-3376.7006556,-7721.7018224,204.5985206,-12085.231177,2.0,6157.8609859,20.7087287
-44.2903077,1248710957618692391,16338.4215934,392.1622106,-1562.0921707,17662.8939781,-39863.331281,-64777.0422928,222.9127958,-112910.2780366,3.0,38112.1755612,69.2751755
-43.9791577,1248851695107049599,7.8875214,575.2246477,-6.850581,1144.4889675,4469.8390954,3465.514414,404.4452624,2180.8611604,2.0,1618.5518198,1.9316787
-43.9940052,1248851695107050133,0.4647713,257.0793271,-0.6298308,124.3713156,1575.5857054,1472.1071356,179.8393192,1326.8430741,2.0,175.8876013,-0.7283625
-43.9679731,1248851695107050104,0.1319604,105.5221298,-0.0773274,27.1427832,654.9610855,624.9611894,74.3041579,600.6755191,2.0,38.3856922,-0.9316515
-43.9685007,1248851695107050103,0.0001952,101.1938954,0.0050015,1.002674,546.5826268,545.7330615,70.923977,544.5772788,2.0,1.4179952,-0.9999024
-43.9693264,1248851695107050219,0.3371683,352.7017044,-11017.700763,144.8552208,-2030.0011141,-2168.0991536,249.1940994,-2319.7115557,2.0,204.8562178,-0.8140607
-43.9501635,1248851695107048716,54.7466103,130.2329844,-1.3216751,701.75786,489.0990305,113.4164659,83.9833539,-914.4166896,2.0,992.4354832,5.5435079
-43.9424311,1248851695107048691,1.0214641,96.5898422,-0.1766953,69.9663645,-381.14117,-428.5779366,65.5401406,-521.0738989,2.0,98.9473815,0.0212014
-43.9676188,1248851695107048654,25.4996519,328.7377793,-0.6287382,1075.7953627,-462.2765529,-1023.8350374,160.967917,-2840.5693436,3.0,1190.9458294,2.8023221
-43.982415,1248851695107048867,7464.7631979,429.1021921,1032.2663008,26275.5469397,165997.0383125,136171.1048802,301.3300777,113445.944433,2.0,37159.234841,80.5828334
-43.9815224,1248851695107048784,3867.7928365,201.4953454,7.9694304,8263.4962069,-17573.5319458,-26652.0393391,116.0475522,-35002.9681833,3.0,8718.6110683,35.6371459
-43.9815405,1248851695107048772,4.5168678,259.2241098,-0.1292172,241.816262,-1005.4820009,-1269.7476644,112.6404387,-1675.4227751,5.0,274.2920433,0.1301564
